eva,decoded,language
oty,LAUS,latin
oky,FACIS,latin
lchedy,MEUS,latin
lchey,MEIS,latin
qokain,NOCAN,occitan
okain,FOCAN,occitan
otedy,LAETUS,latin
otol,LAUDAT,latin
sheol,HERBA,latin
okal,FACIT,latin
okar,FOCAR,occitan
okedy,FACITIS,latin
otain,LANA,latin
otchy,LAUDIS,latin
oteedy,LAETIS,latin
shor,HORAM,latin
raiin,REM,latin
qotaiin,NOTAM,latin
sol,SAT,latin
tedy,TEUS,latin
char,DARE,latin
sheedy,HUIUS,latin
okeedy,FACITIS,latin
lshedy,HEUS,latin
qotedy,NOCETIS,latin
dair,LAUR,latin
cheor,DECOR,latin
cthy,ET,latin
qoty,NOCS,latin
cheody,DECUS,latin
qoteedy,NOCITIS,latin
sain,SAIN,occitan
qotain,NOCAN,occitan
cheedy,DIUS,latin
cheo,DEO,latin
sal,SAL,latin
oly,FLOS,latin
qotar,NOCAR,occitan
ykeey,QUAM,latin
air,AURUM,latin
ain,AN,occitan
am,AM,latin
qotal,NOCAT,latin
okeol,FOCERAT,latin
qokeol,NOCERAT,latin
qokchy,NOCS,latin
qotchy,NOCS,latin
cheky,DICIS,latin
okey,FOCES,latin
shody,HORTUS,latin
choy,DOSIS,latin
otey,las,occitan
kar,GARUM,occitan
olaiin,FILUM,latin
sar,SARE,occitan
qotol,NOCET,latin
odaiin,FUMUM,latin
qodaiin,NOVUM,latin
lol,FUIT,latin
lkeey,BIS,latin
sor,SERUM,latin
kain,BAIN,occitan
lor,LOR,occitan
ytaiin,QUANTUM,latin
ody,FIDES,latin
tar,TARTARUM,latin
lkaiin,AM,latin
olar,FAR,latin
lain,AN,occitan
kchor,GRADU,latin
ckeor,DECOR,latin
lkar,GARUM,occitan
ytedy,QUALIS,latin
qoaiin,NOMEN,latin
olkar,GARUM,occitan
yky,QUOS,latin
chkaiin,DICAM,latin
ror,RORIS,latin
chedain,DICAN,latin
okair,FOCARI,latin
odain,FANUM,latin
chear,DECOR,latin
sheky,HIBIS,latin
chety,DATIS,latin
yteey,QUIES,latin
cheeky,DICIS,latin
yty,QUAS,latin
dan,LAN,latin
cham,DAM,latin
rol,ROTA,latin
dary,ARS,latin
pol,FUIT,latin
rain,RAN,latin
ycheey,QUIS,latin
cheeo,DEO,latin
chl,DAT,latin
chdaiin,DUM,latin
qoeey,NOIS,latin
okeeo,FACIO,latin
rar,RARO,latin
okeeol,FACIT,latin
lkchedy,GENUS,latin
lkchdy,GENUS,latin
lshey,HEC,occitan
olshey,HEC,occitan
chs,DES,occitan
shed,HEU,latin
qokeor,NOCERE,latin
sheos,HABES,latin
otair,LAUR,latin
chky,DECUS,latin
qokeeo,NOCEO,latin
ykedy,QUALIS,latin
chokaiin,DICTUM,latin
chain,DANS,latin
ykal,QUALE,latin
lchdy,DATUS,latin
qotchey,NOCES,latin
qoy,NOS,latin
qoey,NOCES,latin
lky,AC,occitan
qokaly,NOCITIS,latin
teey,TUIS,latin
okaly,FACITIS,latin
okchdy,FACITIS,latin
chdal,DAT,latin
opchdy,DATUS,latin
kchey,GENS,latin
ykchy,QUAM,latin
tal,TAL,latin
daiir,OLER,latin
sheal,HALAT,latin
ched,DEUS,latin
shaiin,HAMA,latin
oldy,ALIUS,latin
ary,ARS,latin
okchedy,FACITIS,latin
cheal,DICIT,latin
kchol,GRATIA,latin
olshedy,HEUS,latin
kchedy,GENUS,latin
qotey,NOCES,latin
olky,AC,occitan
chdar,DARE,latin
okeor,FACERE,latin
kal,CALE,latin
shodaiin,HORTUM,latin
chedal,DICAT,latin
ytar,QUATER,latin
y,ET,latin
s,SED,latin
r,RECIPE,latin
aiir,AER,latin
om,OM,latin
sy,SIC,latin
okeody,FACITIS,latin
qokeody,NOCETIS,latin
chedar,DECOR,latin
qokeeey,NOCIS,latin
qor,NOR,latin
ldy,ALIUS,latin
keedy,BIS,latin
lkeedy,BIS,latin
choky,DECUS,latin
aly,ALS,occitan
oaiin,FAMA,latin
qokam,NOCAM,latin
okam,FOCAM,latin
dchedy,DEUS,latin
dchor,DEA,latin
qotchedy,NOCETIS,latin
qotchdy,NOCETIS,latin
daly,ALS,occitan
she,HE,latin
oiin,VINUM,latin
okeeey,FACIES,latin
olkedy,GENUS,latin
otchdy,LAETUS,latin
olchedy,MEUS,latin
os,OS,latin
oteos,LOCUS,latin
olor,FLORA,latin
okor,FACERE,latin
qotor,NOCOR,latin
opchey,DES,occitan
olchey,DES,occitan
lkedy,GENUS,latin
qopchedy,NOCETIS,latin
sheor,HORROR,latin
ches,DES,occitan
qokchedy,NOCETIS,latin
opchedy,DEUS,latin
pchedy,DEUS,latin
olkain,BAIN,occitan
olkaiin,AM,latin
tchedy,TEUS,latin
otchedy,LAETUS,latin
otchey,LAS,occitan
qokchey,NOCES,latin
okchey,FOCES,latin
chckhy,DIES,latin
chcthy,DIES,latin
shckhy,HEUS,latin
checkhy,DES,occitan
sheckhy,HEUS,latin
cheos,DEOS,latin
chees,DEIS,latin
lkain,BAIN,occitan
dshedy,HEUS,latin
shar,HORA,latin
ykar,QUARE,latin
sheody,HIRTUS,latin
qokchdy,NOCTES,latin
shdy,HIS,occitan
kedy,GENUS,latin
ckhy,ET,latin
okchy,FACIS,latin
olkeey,FACITIS,latin
oteol,LAETO,latin
oteody,LACTIS,latin
oraiin,FORMA,latin
qokor,NOCOR,latin
chos,DOS,latin
choty,DATUS,latin
qoteey,NOCIS,latin
olkeedy,FACITIS,latin
otam,OLEUM,latin
otor,LOR,occitan
chodaiin,ODORATUM,latin
ykaiin,QUAM,latin
sheo,HUC,latin
aiiin,AMARA,latin
otchor,LOR,occitan
okchor,FACERE,latin
ytchy,QUAS,latin
tchor,SED,latin
chokchy,DECUS,latin
qokchol,NOCET,latin
qotchor,NOCOR,latin
choiin,VINUM,latin
qotchol,NOCET,latin
chotchy,DATUS,latin
dchey,DES,occitan
tchol,TERTIO,latin
okchol,OPTAT,latin
doiin,VINUM,latin
dshor,HORAM,latin
daiiin,AMARA,latin
ychor,DEA,latin
chory,DARIS,latin
qokchor,NOCOR,latin
choly,FLOS,latin
chyky,QUOS,latin
chan,DAN,latin
shoy,HORAS,latin
tchey,DES,occitan
chty,SIC,latin
ydaiin,OLEUM,latin
ykol,GRATIA,latin
dshy,HIC,latin
dsho,HABE,occitan
dcheey,DIS,latin
opchy,DIES,latin
chkchy,BONUS,latin
chkar,DECOR,latin
ytor,QUARE,latin
ytchor,QUARE,latin
ytey,QUAS,latin
ykeedy,QUALIS,latin
odal,FUAT,latin
sheaiin,HAMAM,latin
qokody,NOCATUS,latin
oy,FAC,latin
qody,NERVI,latin
olol,FUIT,latin
chom,OM,latin
dshey,HEC,occitan
qokechy,NOCES,latin
lcheey,DIS,latin
laiin,AMARA,latin
olcheey,DIS,latin
chkal,CALE,latin
olain,AN,occitan
pchor,DEA,latin
ytchey,QUAS,latin
pchey,DES,occitan
chkain,BAIN,occitan
pchdy,DATUS,latin
opaiin,AMARA,latin
chokain,FOCAN,occitan
pcheol,DEDIT,latin
olchy,DIES,latin
pchedar,DECOR,latin
chotar,LAR,latin
chokeey,FACIS,latin
olkal,CALE,latin
choldy,ALIUS,latin
opar,AD,latin
ytchedy,QUALIS,latin
chdam,DICERE,latin
lchy,DIES,latin
lcheedy,DIUS,latin
chodain,FANUM,latin
chotey,LAS,occitan
ochy,FAC,latin
chotaiin,LIMA,latin
oldaiin,OLEUM,latin
opal,AL,occitan
chdain,LAIN,occitan
dsheol,HERBA,latin
chotal,LAUDAT,latin
chokal,FACIT,latin
tchody,CORTICE,latin
dsheey,HIS,occitan
paiin,AMARA,latin
dody,FIDES,latin
olcheol,DEDIT,latin
pchol,DAT,latin
olchdy,DATUS,latin
chdor,LUX,latin
dcheol,DEDIT,latin
opcheol,DEDIT,latin
por,OR,occitan
lsheey,HIS,occitan
lkchey,GENS,latin
lcheol,DEDIT,latin
polaiin,FILUM,latin
opor,OR,occitan
oldar,DICIT,latin
olsheey,HIS,occitan
choaiin,FAMA,latin
chotol,LAUDAT,latin
chodal,FUAT,latin
dom,OM,latin
okcheey,FACIS,latin
dcheo,DEO,latin
dchdy,DATUS,latin
pcheody,DECUS,latin
chokey,FOCES,latin
choteey,LIS,latin
olkeol,GERAT,latin
chokar,FOCAR,occitan
lal,AL,occitan
olal,AL,occitan
ltedy,TEUS,latin
lsheedy,HUIUS,latin
ykchedy,QUALIS,latin
opchol,DAT,latin
otcham,OLEUM,latin
tcheey,TUIS,latin
chary,ARS,latin
otchar,LAR,latin
opchor,DEA,latin
ykchol,GRATIA,latin
oldam,DICERE,latin
chaly,ALS,occitan
chokor,FACERE,latin
olam,AM,latin
lchal,DAT,latin
polchedy,MEUS,latin
lchor,DEA,latin
olkchedy,GENUS,latin
shchy,HIC,latin
qokeechy,NOCIS,latin
okechy,FOCES,latin
lam,AM,latin
loly,FLOS,latin
lar,AD,latin
qochey,NOCES,latin
chtal,TAL,latin
lched,DEUS,latin
lpchedy,DEUS,latin
pshol,HABET,latin
dchaiin,DIEM,latin
dcho,DEO,latin
lshy,HIC,latin
kcheol,GERAT,latin
choraiin,FORMA,latin
chopchy,DIES,latin
chokeody,FACITIS,latin
cholor,FLORA,latin
pcheey,DIS,latin
schol,SAT,latin
dshol,HABET,latin
pchodaiin,ODORATUM,latin
dyky,QUOS,latin
schy,SIC,latin
chtol,TERTIO,latin
pchdar,DARE,latin
chokeol,FOCERAT,latin
oltedy,TEUS,latin
par,AD,latin
pchody,ODORATUS,latin
chkedy,GENUS,latin
lkol,GRATIA,latin
los,OS,latin
podaiin,FUMUM,latin
ldar,DICIT,latin
oloiin,VINUM,latin
kcheey,BIS,latin
chotam,OLEUM,latin
chekchy,DICIS,latin
kcheody,BEN,occitan
psheody,HIRTUS,latin
lkeol,GERAT,latin
opcheey,DIS,latin
olkol,GRATIA,latin
lom,OM,latin
otechdy,LAETUS,latin
pchedal,DICAT,latin
pcheor,DECOR,latin
lkal,CALE,latin
chtaiin,CUM,latin
dchar,DARE,latin
otchal,LAUDAT,latin
cholaiin,FILUM,latin
chochy,FAC,latin
cholal,AL,occitan
chotain,LANA,latin
chyty,QUAS,latin
dalchy,ALS,occitan
chodchy,ODORATUS,latin
lchol,DAT,latin
tchar,TARTARUM,latin
chetchy,DATIS,latin
chokol,OPTAT,latin
olsheol,HERBA,latin
loiin,VINUM,latin
kechdy,GENUS,latin
cholky,AC,occitan
qotcheedy,NOCITIS,latin
shekchy,HIBIS,latin
chotor,LOR,occitan
okchar,FOCAR,occitan
chokchol,OPTAT,latin
olkchey,GENS,latin
chokam,FOCAM,latin
opam,AM,latin
okechdy,FACITIS,latin
otechy,LAS,occitan
dcheedy,DIUS,latin
chpchy,ARIETE,latin
olkchy,BONUS,latin
dsheedy,HUIUS,latin
olshdy,HIS,occitan
olpchedy,DEUS,latin
qokechedy,NOCITIS,latin
opol,FUIT,latin
cholkaiin,AM,latin
lkor,GRADU,latin
olkor,GRADU,latin
olkchdy,ACUTUS,latin
pchedaiin,DEUM,latin
lcheo,DEO,latin
dcheor,DECOR,latin
loty,LAUS,latin
lkeody,BEN,occitan
opair,AURUM,latin
opchedaiin,DEUM,latin
okechedy,FACITIS,latin
lchody,ODORATUS,latin
chotchey,LAS,occitan
olsy,SIC,latin
choteol,LAETO,latin
pchar,DARE,latin
lody,FIDES,latin
opydaiin,OLEUM,latin
chykchy,QUAM,latin
olsho,HABE,occitan
pchoy,DOSIS,latin
doaiin,FAMA,latin
okchal,FACIT,latin
dchokchy,DECUS,latin
qotchar,NOCAR,occitan
dsheor,HORROR,latin
kchaiin,AM,latin
olshy,HIC,latin
dykaiin,QUAM,latin
schor,SERUM,latin
oldal,DICIT,latin
chtar,TARTARUM,latin
olom,OM,latin
oloy,FAC,latin
ykeechy,QUAM,latin
poraiin,FORMA,latin
chkol,GRATIA,latin
lodaiin,FUMUM,latin
chdaly,ALS,occitan
lsheody,HIRTUS,latin
pchdaiin,DUM,latin
cholkal,CALE,latin
olaiir,AER,latin
otcheey,LIS,latin
opchal,DAT,latin
lchar,DARE,latin
lshed,HEU,latin
keechy,BIS,latin
qokcheody,NOCETIS,latin
pchal,DAT,latin
olkeechy,FACITIS,latin
chokchey,FOCES,latin
dchos,DOS,latin
cholkar,GARUM,occitan
olaly,ALS,occitan
okalchy,FACITIS,latin
pdaiin,OLEUM,latin
ldaiin,OLEUM,latin
chteey,TUIS,latin
dolchedy,MEUS,latin
okcheody,FACITIS,latin
opcheody,DECUS,latin
doly,FLOS,latin
oltar,TARTARUM,latin
chokeedy,FACITIS,latin
qokechdy,NOCETIS,latin
pshedy,HEUS,latin
olcheedy,DIUS,latin
lokeedy,FACITIS,latin
olched,DEUS,latin
dched,DEUS,latin
poiin,VINUM,latin
lcheody,DECUS,latin
opdaiin,OLEUM,latin
cholkeedy,FACITIS,latin
opary,ARS,latin
chkchol,GRATIA,latin
olchor,DEA,latin
olcheor,DECOR,latin
lkechedy,BIS,latin
opcheedy,DIUS,latin
kechedy,BIS,latin
pcheo,DEO,latin
ltal,TAL,latin
lcho,DEO,latin
chokedy,FACITIS,latin
pchodain,FANUM,latin
eey,IS,latin
eol,ERAT,latin
yteedy,QUALIS,latin
soiin,SEMEN,latin
chhy,DIES,latin
cheoy,DEOS,latin
ols,FLOS,latin
edy,EIUS,latin
qoeedy,NOCITIS,latin
ory,FORS,latin
oar,FAR,latin
shear,HORA,latin
teol,TERAT,latin
ykeol,QUERAT,latin
okeeor,FACERE,latin
sheeol,HERBA,latin
shal,SAL,latin
orol,FORAT,latin
ral,RAT,latin
okeo,FACIO,latin
otaly,LAUDIS,latin
aral,AURAT,latin
oldain,LAIN,occitan
chtor,SED,latin
oltchey,DES,occitan
dolchey,DES,occitan
olsaiin,SUMMA,latin
pydaiin,OLEUM,latin
chtody,CORTICE,latin
dykchy,QUAM,latin
dchodaiin,ODORATUM,latin
dolar,FAR,latin
ololy,FLOS,latin
ddy,ALIUS,latin
qodchy,NERVI,latin
dpchy,ARIETE,latin
shochy,HORAS,latin
dytchy,QUAS,latin
qokcheor,NOCERE,latin
kchar,GARUM,occitan
doldy,ALIUS,latin
doldaiin,OLEUM,latin
dchal,DAT,latin
dyty,QUAS,latin
ddor,LUX,latin
qochy,NOS,latin
cholol,FUIT,latin
oldor,LUX,latin
otchaiin,LIMA,latin
ololdy,ALIUS,latin
olchar,DARE,latin
dshe,HE,latin
olsar,SARE,occitan
opchar,DARE,latin
pcho,DEO,latin
qotchaiin,NOTAM,latin
qokchody,NOCATUS,latin
oltchy,SENECIO,latin
chshy,HIC,latin
chykar,QUARE,latin
chokchaiin,DICTUM,latin
olsheor,HORROR,latin
pair,AURUM,latin
cholchedy,MEUS,latin
chechey,DIS,latin
olchdaiin,DUM,latin
qokchaiin,NOCUM,latin
shdchy,HIS,occitan
dchdar,DARE,latin
dshdy,HIS,occitan
opches,DES,occitan
pchedain,DICAN,latin
pchear,DECOR,latin
chtchy,SENECIO,latin
poldy,ALIUS,latin
olos,OS,latin
lsho,HABE,occitan
dytedy,QUALIS,latin
dykedy,QUALIS,latin
olkeody,BEN,occitan
chtedy,TEUS,latin
loldy,ALIUS,latin
chokaly,FACITIS,latin
opchear,DECOR,latin
dchody,ODORATUS,latin
dshody,HORTUS,latin
lchdal,DAT,latin
qokcheey,NOCIS,latin
olchear,DECOR,latin
cholar,FAR,latin
polal,AL,occitan
dos,OS,latin
shchey,HEC,occitan
okechey,FACIS,latin
chpor,OR,occitan
qocheey,NOIS,latin
otcheody,LACTIS,latin
chokeeey,FACIES,latin
chotedy,LAETUS,latin
opain,AN,occitan
chopchey,DES,occitan
chopchedy,DEUS,latin
olteey,TUIS,latin
lolkaiin,AM,latin
dykeedy,QUALIS,latin
olshed,HEU,latin
lpchdy,DATUS,latin
ollchy,DIES,latin
chdol,LAEDIT,latin
oloky,FACIS,latin
ldol,LAEDIT,latin
tchal,TAL,latin
lshdy,HIS,occitan
dkedy,GENUS,latin
oltal,TAL,latin
opcholor,FLORA,latin
cholchey,DES,occitan
lsheol,HERBA,latin
lteey,TUIS,latin
pcheedy,DIUS,latin
dolshedy,HEUS,latin
oltaiin,CUM,latin
polchey,DES,occitan
lchees,DEIS,latin
polchdy,DATUS,latin
lchl,DAT,latin
dkain,BAIN,occitan
polched,DEUS,latin
lchedar,DECOR,latin
lokam,FOCAM,latin
lchs,DES,occitan
chkeedy,BIS,latin
shechy,HEC,occitan
pdal,DICIT,latin
opshedy,HEUS,latin
opoly,FLOS,latin
dolor,FLORA,latin
pdar,DICIT,latin
chdair,LAUR,latin
olpchey,DES,occitan
cholkain,BAIN,occitan
dcheody,DECUS,latin
dsheody,HIRTUS,latin
olkechy,GENS,latin
dcheos,DEOS,latin
olcheody,DECUS,latin
ldain,LAIN,occitan
opcheor,DECOR,latin
okcheor,FACERE,latin
opchody,ODORATUS,latin
okchaiin,FOCUM,latin
chchy,DIES,latin
pcholy,FLOS,latin
lolain,AN,occitan
pshodaiin,HORTUM,latin
poly,FLOS,latin
lkechey,BIS,latin
qokcheedy,NOCITIS,latin
olcheo,DEO,latin
qotechy,NOCES,latin
lsaiin,SUMMA,latin
dyteey,QUIES,latin
paiir,AER,latin
laiiin,AMARA,latin
opched,DEUS,latin
chlar,AD,latin
oporaiin,FORMA,latin
chokchedy,FACITIS,latin
lldy,ALIUS,latin
pal,AL,occitan
pcholky,AC,occitan
lty,SIC,latin
lcheor,DECOR,latin
lchdain,LAIN,occitan
lokeey,FACIS,latin
lcheal,DICIT,latin
pchdam,DICERE,latin
polar,FAR,latin
polor,FLORA,latin
dsheo,HUC,latin
pcheos,DEOS,latin
chotchdy,LAETUS,latin
chokeo,FACIO,latin
chols,FLOS,latin
daral,AURAT,latin
deey,IS,latin
dory,FORS,latin
olols,FLOS,latin
orchy,FORS,latin
pchdol,LAEDIT,latin
lory,FORS,latin
pcheoy,DEOS,latin
pchdair,LAUR,latin
tcheol,TERAT,latin
chpal,AL,occitan
chorol,FORAT,latin
choar,FAR,latin
okcheo,FACIO,latin
polshy,HIC,latin
dedy,EIUS,latin
ochar,FAR,latin
poar,FAR,latin
sair,SATUR,latin
odar,ODAR,occitan
dl,DEL,latin
ychey,DES,occitan
daldy,LATUS,latin
ytal,TAL,latin
tain,TAIN,occitan
okeeody,FACITIS,latin
okody,FOCATUS,latin
tchdy,THUS,latin
ram,RAMUS,latin
qool,FUIT,latin
chodar,DATUR,latin
key,GENUS,latin
potol,LAUDAT,latin
chokody,FOCATUS,latin
ytchaiin,QUANTUM,latin
dkol,GRATIA,latin
chololy,FLOS,latin
ychtaiin,QUANTUM,latin
olchsy,SIC,latin
cholols,FLOS,latin
chopchol,DAT,latin
dey,ES,latin
chaiir,AER,latin
choldar,DICIT,latin
ytcheey,QUIES,latin
dshoy,HORAS,latin
olchoiin,VINUM,latin
schain,SAIN,occitan
deol,ERAT,latin
lokaiin,FOCUM,latin
okchody,FOCATUS,latin
chytchy,QUAS,latin
qochol,FUIT,latin
chorchy,FORS,latin
chopchal,DAT,latin
chair,AURUM,latin
chtchor,SED,latin
ykchaiin,QUAM,latin
olty,SIC,latin
dky,AC,occitan
chopol,FUIT,latin
ochkchar,FOCAR,occitan
doal,DOLOR,latin
chpchol,DAT,latin
chpchey,DES,occitan
dchchy,DIES,latin
schar,SARE,occitan
dolcheey,DIS,latin
choldaiin,OLEUM,latin
choltaiin,CUM,latin
chkor,GRADU,latin
okcheol,FOCERAT,latin
ytchar,QUATER,latin
chlol,FUIT,latin
olody,FIDES,latin
doky,FACIS,latin
chpcheos,DEOS,latin
doty,LAUS,latin
cholody,FIDES,latin
ochaiin,FAMA,latin
cholchaiin,FILUM,latin
choldchy,ALIUS,latin
chdoly,FLOS,latin
odchaiin,FUMUM,latin
ychky,QUOS,latin
okchain,FOCAN,occitan
lolchor,DEA,latin
opom,OM,latin
opshody,HORTUS,latin
dlos,OS,latin
ochdy,FIDES,latin
qotchain,NOCAN,occitan
dchain,DANS,latin
chkey,GENUS,latin
orchaiin,FORMA,latin
pchodar,DATUR,latin
chchoty,DATUS,latin
dchorol,FORAT,latin
chtchey,DES,occitan
chotchol,LAUDAT,latin
chokeor,FACERE,latin
chokcheey,FACIS,latin
dytchor,QUARE,latin
dchoty,DATUS,latin
chechdaiin,DEUM,latin
lchoar,FAR,latin
oltchedy,TEUS,latin
schaiin,SUMMA,latin
shcheaiin,HAMAM,latin
lchaiin,DIEM,latin
chokeeo,FACIO,latin
dchytchy,QUAS,latin
chtain,TAIN,occitan
pchotchy,DATUS,latin
chshol,HABET,latin
pdair,LAUR,latin
lokar,FOCAR,occitan
chdchy,LUCIS,latin
dodaiin,FUMUM,latin
chokeeor,FACERE,latin
chotcheey,LIS,latin
cholty,SIC,latin
olkey,GENUS,latin
choal,DOLOR,latin
oloaiin,FAMA,latin
pshy,HIC,latin
qokchain,NOCAN,occitan
kchain,BAIN,occitan
tchaiin,CUM,latin
opchaiin,DIEM,latin
pchom,OM,latin
dcholdy,ALIUS,latin
chdody,FIDES,latin
pchair,AURUM,latin
cholsho,HABE,occitan
ltchey,DES,occitan
opchety,DATIS,latin
lotal,LAUDAT,latin
lolkeol,GERAT,latin
pcheodchy,DECUS,latin
dodar,ODAR,occitan
chotcheol,LAETO,latin
odchy,FIDES,latin
chokeeody,FACITIS,latin
fchochor,JACEA,latin
psheor,HORROR,latin
olraiin,REM,latin
olcheky,DICIS,latin
pchodal,FUAT,latin
dchom,OM,latin
chochar,FAR,latin
dcham,DAM,latin
doy,FAC,latin
alchy,ALS,occitan
chokcheo,FACIO,latin
kchal,CALE,latin
tchain,TAIN,occitan
ddal,DICIT,latin
olchokal,FACIT,latin
cholkeey,FACITIS,latin
oteodchy,LACTIS,latin
choldal,DICIT,latin
cholaly,ALS,occitan
dalchdy,LATUS,latin
dcholy,FLOS,latin
dtor,SED,latin
olchoy,DOSIS,latin
dytal,TAL,latin
pchshy,HIC,latin
psheey,HIS,occitan
ltar,TARTARUM,latin
kechody,BEN,occitan
dkar,GARUM,occitan
dcheeky,DICIS,latin
choteedy,LAETIS,latin
opcholdy,ALIUS,latin
dokechy,FOCES,latin
dchyky,QUOS,latin
dcholal,AL,occitan
okeechor,FACERE,latin
dchykchy,QUAM,latin
chdchol,DICERE,latin
dsy,SIC,latin
dolaiin,FILUM,latin
doar,FAR,latin
dorchy,FORS,latin
dchedal,DICAT,latin
dychey,DES,occitan
chkeody,BEN,occitan
dchokey,FOCES,latin
ochs,OS,latin
ykchal,QUALE,latin
chsar,SARE,occitan
chda,LA,latin
okodchy,FOCATUS,latin
choteody,LACTIS,latin
opolaiin,FILUM,latin
ddl,DEL,latin
choteos,LOCUS,latin
opaiir,AER,latin
dlal,AL,occitan
otalchy,LAUDIS,latin
opotey,las,occitan
lkchol,GRATIA,latin
chchs,DES,occitan
otechol,LAETO,latin
chsor,SERUM,latin
chpar,AD,latin
echy,ES,latin
ltain,TAIN,occitan
pshar,HORA,latin
ychty,QUAS,latin
dokal,FACIT,latin
dlshedy,HEUS,latin
pokain,FOCAN,occitan
opshdy,HIS,occitan
opshey,HEC,occitan
lkey,GENUS,latin
olchdar,DARE,latin
opchaly,ALS,occitan
chpchedy,DEUS,latin
doteey,LIS,latin
dytey,QUAS,latin
chlaiiin,AMARA,latin
chchky,DECUS,latin
ltaiin,CUM,latin
lchear,DECOR,latin
doraiin,FORMA,latin
dolcheedy,DIUS,latin
ldchey,DES,occitan
ololdal,DICIT,latin
chchty,SIC,latin
drol,ROTA,latin
opaly,ALS,occitan
pykedy,QUALIS,latin
lolkedy,GENUS,latin
dchokol,OPTAT,latin
psheedy,HUIUS,latin
chyteey,QUIES,latin
polkeey,FACITIS,latin
olorol,FORAT,latin
qokechey,NOCIS,latin
pshdy,HIS,occitan
dkeey,BIS,latin
pdol,LAEDIT,latin
olotchedy,LAETUS,latin
oltain,TAIN,occitan
opcheeky,DICIS,latin
lolom,OM,latin
polchy,DIES,latin
polshdy,HIS,occitan
ololchey,DES,occitan
lchpchdy,DATUS,latin
lchedal,DICAT,latin
chechol,DEDIT,latin
olqo,NO,latin
lolol,FUIT,latin
dolol,FUIT,latin
kechey,BIS,latin
loraiin,FORMA,latin
chedchy,DEUS,latin
sheedchy,HUIUS,latin
chldaiin,OLEUM,latin
dolshed,HEU,latin
lldar,DICIT,latin
lols,FLOS,latin
opshed,HEU,latin
dorol,FORAT,latin
dokedy,FACITIS,latin
dolkedy,GENUS,latin
olokar,FOCAR,occitan
lolor,FLORA,latin
darchy,ARS,latin
pdsheody,HIRTUS,latin
ldo,ALBA,latin
polky,AC,occitan
dchdal,DAT,latin
olpchdy,DATUS,latin
opoiin,VINUM,latin
dchdor,LUX,latin
olcheos,DEOS,latin
chdchdy,DATUS,latin
opcho,DEO,latin
olair,AURUM,latin
oleey,IS,latin
lram,RAMUS,latin
ldaly,ALS,occitan
lchdol,LAEDIT,latin
lshechy,HEC,occitan
polkchy,BONUS,latin
ldaiiin,AMARA,latin
choltal,TAL,latin
lshar,HORA,latin
poldaiin,OLEUM,latin
pshody,HORTUS,latin
olpshy,HIC,latin
pchykar,QUARE,latin
ytechy,QUAS,latin
otcheol,LAETO,latin
techol,TERAT,latin
olsheody,HIRTUS,latin
pdan,LAN,latin
opodaiin,FUMUM,latin
loy,FAC,latin
opolsy,SIC,latin
dolchoy,DOSIS,latin
dolshy,HIC,latin
ytchchy,QUAS,latin
opshol,HABET,latin
podar,ODAR,occitan
olsain,SAIN,occitan
dolkain,BAIN,occitan
dolkchy,BONUS,latin
chokchor,FACERE,latin
chopcho,DEO,latin
dsheos,HABES,latin
oparal,AURAT,latin
opsho,HABE,occitan
doldam,DICERE,latin
dykchal,QUALE,latin
chopcheey,DIS,latin
